"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_Epochs","n_Units","Energy_Consumed","accuracy","f1_score","recall","rmse_lstm_pred","mae_pred","mae_max","mae_mean","mae_min","rmse_max","rmse_mean","rmse_min"
"zany-sweep-13","1.2","true","1","4","2","100","10","0.000023959167210108995","0.8974358974358975","0.6363636363636364","1","22.988697341956488","13.415643275590371","14.687475223531347","14.05155924956086","13.415643275590371","24.508780941257992","23.74873914160724","22.988697341956488"
"revived-sweep-708","1.2","false","2","2","3","200","100","0.000018840372249059982","0.935897435897436","0.7368421052631579","1","21.68669638842055","10.102877207094666","16.073766959846793","13.432491997524773","10.102877207094666","24.313887423009575","23.118603174037748","21.68669638842055"
"laced-sweep-599","1.2","false","3","2","2","200","50","0.00002155645554018444","0.8974358974358975","0.6363636363636364","1","25.252184784630064","17.219640739777798","20.383157731806765","18.80139923579228","17.219640739777798","26.73799423140632","25.995089508018193","25.252184784630064"
"pious-sweep-558","1.2","false","2","4","2","200","100","0.000019035258465239117","0.8974358974358975","0.6363636363636364","1","24.499949439132788","14.479840357237975","14.738945050762224","14.6093927040001","14.479840357237975","24.499949439132788","24.473345161513123","24.44674088389346"
"driven-sweep-58","1.2","true","2","2","2","200","10","0.000017353144125586623","0.8974358974358975","0.6363636363636364","1","22.86227168123428","13.697900412819603","17.63091657239245","15.664408492606029","13.697900412819603","25.001816711613557","23.932044196423917","22.86227168123428"
"youthful-sweep-119","1.2","true","3","3","2","200","50","0.00001721952151974405","0.8974358974358975","0.6363636363636364","1","24.44540718471791","15.010291392299106","15.221661182750356","15.115976287524733","15.010291392299106","24.44540718471791","24.278713319235667","24.112019453753422"
"astral-sweep-813","1.2","false","1","2","4","100","100","0.00001901220931209726","0.9102564102564102","0.6666666666666666","1","24.95132465259087","17.12863596667005","19.068857387631898","17.633819073327793","17.01681741975066","26.150950037375026","25.29419444507962","24.95132465259087"
"polar-sweep-223","1.2","true","2","3","3","100","10","0.000017760705109758798","0.935897435897436","0.7368421052631579","1","23.42568794015965","14.854940139572342","14.854940139572342","14.518450396860624","14.157846390682067","23.42568794015965","23.19436318554794","23.046449887063172"
"leafy-sweep-450","1.2","true","3","4","4","200","100","0.000018828380259295097","0.9102564102564102","0.6666666666666666","1","23.55506007138342","13.692798465718852","14.432776481806773","13.715522400992258","13.175807104571456","25.77408977806771","24.3531469287004","23.55506007138342"
"comfy-sweep-924","1.2","false","3","2","4","200","100","0.000018862530761791858","0.9102564102564102","0.6666666666666666","1","23.545573495962728","13.008678564928726","18.07597886994597","15.478679902193145","13.008678564928726","25.465480014427616","24.37809349274838","23.545573495962728"
"youthful-sweep-557","1.2","false","2","4","2","200","50","0.000020606254176313744","0.8974358974358975","0.6363636363636364","1","24.222986052949555","14.385035341891994","15.398698397232652","14.891866869562325","14.385035341891994","26.608444473217475","25.415715263083513","24.222986052949555"
"dark-sweep-280","1.2","true","3","3","3","200","10","0.000019768021054310335","0.935897435897436","0.7368421052631579","1","22.193804406606905","12.794935034496756","15.499245656357802","13.99608976310961","12.794935034496756","24.029152234993408","22.942625218115975","22.193804406606905"
"super-sweep-773","1.2","false","3","4","3","200","50","0.000018748691685232444","0.935897435897436","0.7368421052631579","1","26.1575719708777","16.157743254703675","17.029691131354","16.410396960198213","16.04375649453696","27.07986863374249","26.205643286615032","25.37948925522491"
"crimson-sweep-664","1.2","false","1","4","3","200","10","0.00001863144008721873","0.935897435897436","0.7368421052631579","1","26.436646138241976","19.953463194215452","19.953463194215452","18.06455413443165","16.256434030825133","26.61496862358175","25.823839790417523","24.419904609428837"
"summer-sweep-762","1.2","false","3","2","3","200","100","0.000018965957419879057","0.935897435897436","0.7368421052631579","1","21.837604183592987","10.918440899420403","14.377330803095823","12.77544392486176","10.918440899420403","23.206683319658755","22.661568138825142","21.837604183592987"
"sparkling-sweep-1","1.2","true","1","2","2","100","10","0.000019342866518270767","0.8974358974358975","0.6363636363636364","1","24.299059942908823","14.556350478927811","14.556350478927811","14.165720885200008","13.775091291472204","24.299059942908823","23.77574643146604","23.252432920023253"
"cool-sweep-227","1.2","true","2","3","3","200","50","0.00001767157816806869","0.935897435897436","0.7368421052631579","1","22.89636909292025","13.32892267812754","16.244864775105263","14.467615784801136","13.32892267812754","24.95876530175711","23.68180905040467","22.89636909292025"
"noble-sweep-392","1.2","true","2","4","4","100","50","0.00001790629945612308","0.9102564102564102","0.6666666666666666","1","25.374205520842033","15.957475700001904","16.520548285387708","15.863833669469262","14.851285753443335","25.374205520842033","24.943912765334964","24.491177042258965"
"spring-sweep-817","1.2","false","1","3","4","100","10","0.000020085873289172393","0.9102564102564102","0.6666666666666666","1","24.51968160400575","16.262063831993203","17.39273630117441","16.72407677826324","16.262063831993203","25.16390418908796","24.7008248751555","24.083393683454855"
"olive-sweep-342","1.2","true","1","4","4","200","100","0.000017822437440267247","0.9102564102564102","0.6666666666666666","1","21.96596868684427","12.877034256100348","14.155558140345986","13.394005269058033","12.628814091352984","26.264684526628304","23.70095882476218","21.96596868684427"
"revived-sweep-67","1.2","true","2","4","2","100","10","0.000017525358214997926","0.8974358974358975","0.6363636363636364","1","25.157849933902327","15.925272462602091","15.925272462602091","15.189234623460646","14.453196784319196","25.157849933902327","24.505637577970532","23.85342522203874"
"icy-sweep-328","1.2","true","1","2","4","200","10","0.000017583997324785766","0.9102564102564102","0.6666666666666666","1","23.36556788875643","14.75851303235339","18.005854930372358","16.329357096288113","14.75851303235339","25.727486876348063","24.455599040760703","23.36556788875643"
"frosty-sweep-173","1.2","true","1","3","3","200","50","0.000017126903057809892","0.935897435897436","0.7368421052631579","1","20.317892893654903","10.327627911614751","14.58893229108538","12.701422031894705","10.327627911614751","23.27030383060892","22.26063941691606","20.317892893654903"
"summer-sweep-867","1.2","false","2","2","4","100","100","0.000018885957578322503","0.9102564102564102","0.6666666666666666","1","25.007544060773377","17.209135392781047","18.264872683676188","17.036152579369485","16.227368107149196","25.598463481600337","24.91429898414781","24.367175670142103"
"legendary-sweep-935","1.2","false","3","4","4","200","50","0.000019528910280248256","0.9102564102564102","0.6666666666666666","1","23.144004726064846","13.364259910524046","13.851112928989956","13.065169963351163","11.932527847884538","25.09093872353985","23.256699536381664","22.19572351871317"
"brisk-sweep-284","1.2","true","3","4","3","100","50","0.000017520533568842516","0.935897435897436","0.7368421052631579","1","23.93767999513829","14.794654123122974","15.60213898252017","14.98793718792804","14.567018458140977","25.307980554995","24.591080702375407","23.93767999513829"
"comfy-sweep-920","1.2","false","3","2","4","100","50","0.000019093535112221567","0.9102564102564102","0.6666666666666666","1","25.069532160628505","16.703090969333402","18.70274861949574","17.47330219647296","16.703090969333402","26.16251248393228","25.41989649079199","25.069532160628505"
"soft-sweep-659","1.2","false","1","3","3","200","50","0.000018518318926936544","0.935897435897436","0.7368421052631579","1","22.32817082551373","11.474964250837056","13.061684573958756","11.988816130032893","11.429799565302863","23.59180988104701","22.89908876874125","22.32817082551373"
"zany-sweep-9","1.2","true","1","3","2","100","100","0.00003574081182255984","0.8974358974358975","0.6363636363636364","1","21.805970094194652","11.453956308657164","14.971290472015774","13.212623390336468","11.453956308657164","23.592315911058087","22.69914300262637","21.805970094194652"
"vocal-sweep-880","1.2","false","2","4","4","200","10","0.00001939869500545746","0.9102564102564102","0.6666666666666666","1","25.102279161720656","16.136055311643926","17.243272400477025","15.483220829277537","13.285690329138026","27.777849073107532","25.79945175152874","24.229108469601783"
"desert-sweep-822","1.2","false","1","3","4","200","100","0.000019046194807680953","0.9102564102564102","0.6666666666666666","1","21.87018994844013","10.86095748465402","13.602406540590756","12.131710088160132","10.86095748465402","23.37332847780788","22.269169174484972","21.803780339591253"
"fragrant-sweep-811","1.2","false","1","2","4","100","10","0.000019070158309086135","0.9102564102564102","0.6666666666666666","1","24.0314633888274","15.150770787147424","19.40195062350979","17.41619563991002","15.150770787147424","26.753372721467542","25.389684614086207","24.0314633888274"
"solar-sweep-930","1.2","false","3","3","4","200","100","0.00001983168242415597","0.9102564102564102","0.6666666666666666","1","21.98471585419369","11.28456011709238","14.297002554757254","12.77274415501186","11.28456011709238","23.52355032757811","22.72105388451478","21.98471585419369"
"dainty-sweep-12","1.2","true","1","3","2","200","100","0.00002434891404481151","0.8974358974358975","0.6363636363636364","1","24.560674838629023","15.146029766924968","15.146029766924968","13.94207799151532","12.738126216105671","24.560674838629023","23.57583382599916","22.590992813369297"
"likely-sweep-169","1.2","true","1","3","3","100","10","0.00001808627862150072","0.935897435897436","0.7368421052631579","1","22.373202855098295","12.119503949053875","15.665113193581318","14.312609825021982","12.119503949053875","24.01020625118328","23.38959565168497","22.373202855098295"
